iter	Passed	Remaining
613	1432	900
614	1433	897
615	1435	894
616	1436	891
617	1437	888
618	1438	885
619	1440	883
620	1442	880
621	1443	877
622	1444	874
623	1445	871
624	1446	868
625	1448	865
626	1449	862
627	1450	859
628	1452	856
629	1454	853
630	1456	851
631	1458	849
632	1459	846
633	1460	843
634	1462	840
635	1463	837
636	1465	834
637	1466	832
638	1467	829
639	1469	826
640	1471	824
641	1472	821
642	1474	818
643	1475	815
644	1476	812
645	1477	809
646	1478	806
647	1479	803
648	1480	800
649	1482	798
650	1483	795
651	1484	792
652	1486	789
653	1487	786
654	1488	784
655	1490	781
656	1491	778
657	1492	775
658	1493	772
659	1494	769
660	1495	767
661	1496	764
662	1498	761
663	1499	758
664	1501	756
665	1503	754
666	1504	751
667	1506	748
668	1507	745
669	1508	743
670	1510	740
671	1511	737
672	1512	735
673	1514	732
674	1516	730
675	1518	727
676	1519	724
677	1521	722
678	1523	720
679	1524	717
680	1526	715
681	1528	712
682	1529	709
683	1531	707
684	1532	704
685	1533	701
686	1535	699
687	1536	696
688	1538	694
689	1540	691
690	1541	689
691	1543	686
692	1544	684
693	1545	681
694	1547	678
695	1548	676
696	1549	673
697	1551	671
698	1552	668
699	1554	666
700	1555	663
701	1557	661
702	1558	658
703	1560	656
704	1561	653
705	1563	651
706	1564	648
707	1566	645
708	1567	643
709	1569	640
710	1570	638
711	1571	635
712	1573	633
713	1574	630
714	1576	628
715	1577	625
716	1579	623
717	1582	621
718	1583	619
719	1585	616
720	1586	613
721	1587	611
722	1588	608
723	1590	606
724	1591	603
725	1592	600
726	1593	598
727	1594	595
728	1596	593
729	1597	591
730	1599	588
731	1600	586
732	1601	583
733	1603	581
734	1604	578
735	1605	576
736	1607	573
737	1608	571
738	1609	568
739	1612	566
740	1613	563
741	1614	561
742	1615	558
743	1617	556
744	1618	554
745	1620	551
746	1621	549
747	1622	546
748	1624	544
749	1626	542
750	1628	539
751	1629	537
752	1630	534
753	1632	532
754	1633	530
755	1634	527
756	1636	525
757	1637	522
758	1638	520
759	1641	518
760	1642	515
761	1643	513
762	1644	510
763	1646	508
764	1647	506
765	1648	503
766	1649	501
767	1651	498
768	1652	496
769	1653	494
770	1655	491
771	1656	489
772	1658	486
773	1659	484
774	1661	482
775	1663	480
776	1664	477
777	1665	475
778	1667	473
779	1669	470
780	1671	468
781	1672	466
782	1674	463
783	1675	461
784	1676	459
785	1678	456
786	1679	454
787	1680	452
788	1681	449
789	1683	447
790	1685	445
791	1686	442
792	1688	440
793	1689	438
794	1690	436
795	1692	433
796	1693	431
797	1695	429
798	1696	426
799	1698	424
800	1699	422
801	1701	419
802	1702	417
803	1704	415
804	1705	413
805	1707	410
806	1708	408
807	1709	406
808	1711	404
809	1712	401
810	1714	399
811	1716	397
812	1717	395
813	1718	392
814	1720	390
815	1722	388
816	1723	386
817	1725	383
818	1726	381
819	1727	379
820	1730	377
821	1731	374
822	1732	372
823	1734	370
824	1735	368
825	1736	365
826	1738	363
827	1739	361
828	1740	359
829	1741	356
830	1743	354
831	1744	352
832	1746	350
833	1747	347
834	1748	345
835	1750	343
836	1751	341
837	1753	338
838	1754	336
839	1755	334
840	1757	332
841	1759	330
842	1761	328
843	1762	325
844	1763	323
845	1765	321
846	1766	319
847	1768	316
848	1769	314
849	1770	312
850	1772	310
851	1774	308
852	1776	306
853	1777	303
854	1778	301
855	1780	299
856	1782	297
857	1783	295
858	1785	292
859	1786	290
860	1787	288
861	1789	286
862	1792	284
863	1793	282
864	1795	280
865	1796	277
866	1798	275
867	1799	273
868	1800	271
869	1802	269
870	1804	267
871	1807	265
872	1808	263
873	1810	260
874	1811	258
875	1812	256
876	1814	254
877	1815	252
878	1817	250
879	1820	248
880	1823	246
881	1824	244
